idkunden;Nachname;Vorname;Geburtsdatum;Stadt
22972;Reinartz;Robert Peter;1951-01-10;Nieheim - Hüstel
22973;Gelfert;Hermann Ludwig;1949-04-22;Rastatt
22974;Bujaku;Rüdiger;1960-12-12;Sollobaje
22975;Schmitz;Joseph Andre;1944-04-08;Tapiau (bei Königsberg)
22976;Dittmeier;Frank;1969-01-15;Stralsund
22977;Menagia geb. Mäke;Olaf;1968-09-16;Dortmund
22978;Eidenschink;Oliver;1963-08-28;?
22979;Sundaralingam;Calin;1954-03-24;Inuvil
22980;Riedrich-Möller;Rolf;1951-10-12;Atenburg
22981;Karabulut;John  Martin  Hermann;1954-05-02;Mersin
22982;Kremer;Paul Hermann Nahs;1947-05-20;Siegburg
22983;Oelke;Ludger, Franz, Josef;1941-08-20;Göppingen
22984;Loeschke;Arsen;1978-11-19;Augsburg
22985;Wirth;Maik;1982-06-11;Berlin
22986;Strigl;Peter Erich Richard;1966-06-08;Wernau am Neckar
22987;Kesting;Dieter Axel Michael;1960-08-19;Misburg / Hannover
22988;Hertrich;Peter;1958-01-04;Landshut
22989;Lurz;Karl - Heinz;1931-05-21;Hilgert / Westerwald
22990;Pranjic;Dawitt;1979-03-01;Donji Brisnik
22991;Olah;Hans-Peter;1942-03-16;RRimavska Sabota
22992;Moser;Horst;1940-07-23;Sontheim a.d. Brenz
22993;Reicher;Andreas;1962-12-13;Reolfocla
22994;Kellermann;Nelu;1965-03-20;Waiblingen
22995;Beck;Hans-Peter;1947-02-03;Bremen
22996;Zayed;Peter;1941-12-12;Kuwait
22997;Occhilupo;Kay Sönke;1973-06-15;Zug / Schweiz
22998;Marcus;Arpad;1961-02-26;Bukarest
22999;Kimmig;Helmut;1938-04-04;Görwihl
23000;Feldberg;Hans Rudi;1957-03-08;Stralsund
23001;Von orlow;Eugenio;1948-01-27;Berlin
23002;Nestler;Peter;1964-03-10;Bergen
23003;Mauersberger;Mohammed Reza;1961-03-29;Hagen
23004;Kluß;Ayhan;1976-04-15;Breslau
23005;Bergmann;Arthur;1953-12-10;?
23006;Sommer;Herve;1966-01-07;Petrovo / Serbien
23007;Anholt;Ricky Hubert;1982-05-13;?
23008;Koball;Norbert;1964-01-14;Karlsruhe
23009;Schultz;Matteo;1942-12-23;Stuttgart
23010;El--Saoui;Timo Stephan;1973-03-29;Thyrus
23011;Svynarchuk;Alan;1973-11-29;Neustrelitz
23012;Sommer;Georgios;1959-06-22;Petrovo / Serbien
23013;Jahn;Marcel;1980-11-28;Dorf der Jugend
23014;Rieger;Siegfried;1963-07-21;Stuttgart
23015;Meier;Nikolaus;1930-05-19;Zelinograd
23016;Richert;Salvatore;1951-09-21;Stuttgart-Bad Cannstatt
23017;Reitz;Ulrich Aug.Fr.;1953-03-25;Stuttgart
23018;Steinke;Milutin;1939-08-27;Kleinmachnow
23019;Küncülü;Bülent;1978-01-28;Pazarcik
23020;Flad;Dirk;1968-02-13;Willmandingen
23021;Kreuzer;Andreas;1961-05-07;Bad-Cannstatt
23022;Müller;Peter;1953-03-19;Pirmasens
23023;Lang;Mario;1962-08-20;Hildesheim
23024;Ostermann;Jürgen;1944-07-18;Beilstein / Mosel
23025;Spiegel;Frank;1959-05-16;Frankfurt a.Main
23026;Beyersdorff;Horst Günther Danny;1974-06-08;?
23027;Schoch;Uwe Karl Heinz;1970-08-23;Stuttgart-Hedelfingen
23028;Schmacht;Robert;1959-05-20;Ringen / Grafschaft
23029;Schlag;demetrius;1934-01-14;Windbergen
23030;Botis;Georg;1953-09-06;Sighetu Marmatiei
23031;Fischer;Uwe;1969-11-29;Bad Cannstatt
23032;Sternberg;Dietmar;1956-02-29;Berlin
23033;Uzunok;Frank;1962-05-20;Stuttgart
23034;Ottemann;Joachim;1960-02-01;Apolda
23035;Rosa Paulo;Ralf;1962-02-14;Santo Andre das Tojeiras Castello Branco
23036;Herwig;Rolf Erwin;1937-04-30;Wetter an der Ruhr
23037;Kratzmeier;Michael;1948-02-17;Speyer
23038;Barczewies;Oliver;1972-01-29;?
23039;Buddensieck;Uwe Karl Heinz;1970-08-23;Neustadt am Rübenberge
23040;Scheiba;Wolfgang;1955-11-04;Stuttgart
23041;Kuhr geb. Geidel;Mohamad;1979-05-05;Schorndorf
23042;Malcherczyk;Jan;1966-05-03;Potsdam
23043;Maierböck;Uwe;1965-05-02;Ulm
23044;Takam;Lütfi;1963-12-30;Bandjoun / Kamerun
23045;Alimay;Andrew;1958-06-03;?
23046;Langer;Klaus-Gerhard;1951-04-04;Seekirchen
23047;Röttger;Karl;1948-04-19;?
23048;Bock;Horst-Emil;1941-08-11;Stuttgart / B. Cannstatt
23049;Arunasalam;Jörg;1969-11-22;Jaffna
23050;Kreber;Gerhard;1945-01-20;Kasachstan
23051;Sarp;Milutin;1939-08-27;Oevecipinar
23052;Feuerfeil;Jeremie Jean Laurent;1972-06-17;Villingen/Schwarzwald
23053;Kootz;Marco a vicen;1983-01-06;Bützow
23054;Kohnle;Adam;1959-07-17;RuiT-Ostfildern
23055;Karadag;Fairine;1977-09-09;Ankara
23056;Loeschke;Celebi;1953-01-01;Augsburg
23057;Frehle;Peter;1955-06-16;Weimar
23058;Schittenhelm;Mesuk;1972-10-30;?
23059;Volz;Michael Mike;1975-09-28;Stuttgart
23060;Karabulut;Dieter;1960-01-05;Mersin
23061;Ising;Arnim;1946-09-24;?
23062;Glowa;Rein;1962-03-02;Königsee
23063;Illi;Erwin;1945-03-13;Vaihingen an der Enz
23064;Friedl;Orhan;1967-04-15;Winnenden
23065;Cornelius;Thomas Michael;1968-10-21;Kronenburg
23066;Scharrmann;Udo;1960-04-26;Radevormwald
23067;Taranenko;Guiseppe A.;1960-09-01;Put Komunizmu
23068;Matthes;Marcus;1980-08-06;Karl-Marx-Stadt
23069;Titz;Holger;1955-02-06;Sinsheim
23070;Lange;Fred Adolf Egon;1954-08-26;?
23071;Hortas;Axel Michael;1971-02-02;Barcelona
23072;Mouratidis;Thomas;1964-02-21;Stuttgart
23073;Schrader;Ferhat;1985-01-01;Lüneburg
23074;Schindele;Josef Friedrich;1935-03-30;Calw
23075;Joram;Christof;1966-04-11;Jena
23076;Nalenz;Carlos Alberto;1976-08-27;Marienwerder
23077;Wanielik;Thomas;1965-06-21;Kirchheim unter Teck
23078;Zaremba;Christian;1986-07-17;Graudenz / Westpreußen
23079;Zelaya Almuna;Rolf;1982-11-22;Santiago
23080;Feustel;Michael;1972-08-19;Kassel
23081;Hans;Wolf;1959-03-11;Haufhausen
23082;Roes;Abdela;1973-08-15;Münster
23083;Test8;Armin;1949-07-03;uuuuuuuuuuuu
23084;Fiebig;Michael Thomas;1967-08-10;Ochsenhausen
23085;Bernards;Hans Dieter;1964-12-31;Düren
23086;Schmitt;Heinz-Wilhelm;1952-02-11;?
23087;Richter;Roman;1978-09-27;Saalfeld
23088;Abd El Aziz;Manuel;1983-07-03;Alexandria
23089;Kreuz;Janusz;1956-05-14;?
23090;Frick;David Matthew Park;1972-02-06;?
23091;Dudek;Günter Rudolf Max;1947-04-22;Schleswig
23092;Mc Carroll;Thomas;1964-07-15;Fear Manach/Fremanagh
23093;Grimm;Joachim Ulrich;1962-05-10;?
23094;Schneider;Heinz Günther;1949-08-06;Menzingen J Kraichtal
23095;Weber;Manuel;1978-10-04;Rudolstadt
23096;Wroblewski;Christian;1959-08-19;Stuhm
23097;Dal;Abdul Momen;1956-06-17;gümüshane
23098;Pullera;Khaled;1962-12-05;Rocca di Neto
23099;Tessner;Erwin Harald;1968-10-23;Annaberg-Buchholz
23100;Matousek;Andreas;1972-06-21;Necklinsberg
23101;Bernardt;Mehmet Hanifi;1977-08-24;Augsburg
23102;Golz;Mana;1974-06-17;Bad Wildbad
23103;Sande;Michael Bruce Horst;1962-03-23;Annahütte
23104;Mc Carroll;Henryk  Herbert;1937-02-26;Fear Manach/Fremanagh
23105;Lewandowski;Ilario Lorenzo;1965-08-10;Przedecz
23106;Hawran;Heinrich;1939-09-08;Frankfurt a.M.
23107;Killmeyer;Vlado;1948-03-17;Köln
23108;Müller;Gabor;1957-12-30;Karlsruhe
23109;Plander;Walter;1948-12-01;Bojnice, Prievidza
23110;Szymannski;Mahmut;1979-08-01;Glogow
23111;Raabe;Helmut;1956-03-22;Wurzen
23112;Maruszczyk;Andreas;1982-01-04;Cottbus
23113;Schmidt;Ingo;1959-03-27;Wuppertal
23114;Stotz;Piotor;1970-09-21;Stuttgart
23115;Denk;Martin  Claus;1959-10-03;Heilbronn
23116;Winnekendonk;Georg;1962-07-08;?
23117;Moretti;Daniel;1977-05-16;Nürnberg
23118;Weber;Timerlan;1973-12-30;Stuttgart
23119;Kanters;Jürgen - Michael;1967-12-13;Alblasserdam
23120;Klosterkamp;Konstantin;1934-05-21;Wuppertal
23121;Ziemann;Bua;1972-02-04;Waiblingen
23122;Schläger-Hirsch;Werner;1956-12-05;Landsberg
23123;Kaynak;Harald;1963-07-11;Böblingen
23124;Kautz;Markus;1974-02-25;Akusuat
23125;Skillton;Karl;1963-05-13;Radlett
23126;Lüdtke;Thomas;1959-09-22;Gerabronn
23127;Marwinski;Abraham;1958-03-29;Geldern
23128;Peric;Rene;1976-06-21;Berlin
23129;Heiß;Hans-Udo;1947-06-23;Rain am Lech
23130;Konameni Wandji;Hermann Fred;1954-05-12;Donala
23131;Dietz;Ortwin-Franz-Rudolf;1938-08-31;Schwarzbach
23132;Chatzis;Tilman;1981-10-21;Leptokarya
23133;Mahfoud;Sven;1982-11-23;Jable
23134;Graf;Helmuth;1952-01-23;Feuchtwangen
23135;Arnold;Enrico;1972-04-11;Offenbach
23136;Fedler;Michael;1961-01-19;Fürstenberg/H
23137;Felten;Cosimo Damiano Luigi;1973-11-03;Bielefeld
23138;Szwej;Karl-Heinz;1954-06-11;Swidnica
23139;Papadopoulos;Rolf;1958-04-03;Kasachstan
23140;Scharf;Mario;1969-02-27;?
23141;Prajzendanc;Christoph;1974-07-21;Kamienna
23142;Trzeba;Lars;1976-05-25;Triberg
23143;Brausewetter;Frank Lutz;1958-08-13;Leonberg
23144;Steiner;Klaus-Dieter;1958-01-24;Resita
23145;Saridzic;Gerd Rüdiger;1965-01-28;Zagreb
23146;Ferwing;Michael Jens;1980-05-04;Hamburg
23147;Wranik;Björn;1981-06-29;Geislingen
23148;Güneysu;Werner;1939-12-13;Istanbul
23149;Vinci;Günther Fritz;1952-06-05;Mesagne
23150;Mayer;Johann;1945-12-24;Pliezhausen
23151;Schwarzkopf;Franz;1952-10-15;Karlsruhe
23152;Wendt;Andreas;1957-09-25;Borwa
23153;Sande;Hans-Peter Otto;1956-10-08;Annahütte
23154;Berndt;Hasan Malik;1974-11-30;Werdau
23155;Ruf;Karl-Heinz;1959-10-06;Stuttgart
23156;Kittelmann;Robert;1959-02-27;Dresden
23157;Liebschner;Alfred;1947-07-19;?
23158;Henneberg;Udo;1957-05-11;Wippra
23159;Schöninger;Dionyz;1953-05-09;Rochlitz
23160;Berreth;Uwe;1960-07-13;Aalen-Wasseralfingen
23161;Mayer;Karsten Ingo;1964-05-10;Heilbronn
23162;Gruber;Michael;1975-12-17;Budapest
23163;Heeger;Marco;1973-01-29;Hannover
23164;Buse;Heinz;1960-02-05;Stuttgart
23165;Wantola;Claus Günther;1966-05-19;Oppeln
23166;Nießen;Günter Hermann;1940-02-17;Köln
23167;Forst;Karl-Heinz Jürgen;1940-03-14;Essen
23168;Yassin;Craig;1978-08-26;Asmara
23169;Einsporn;Klaus-Dieter;1960-11-08;Hof
23170;Röring;Falk;1978-02-04;Bonn
23171;Schoepe;Enrico;1962-05-03;Zossen
23172;Grupp;Sasa;1977-05-08;Stuttgart
23173;Krumm;Edward Michael;1953-10-12;Greifswald
23174;Kiesel;Ewgenij;1977-08-29;Gelsenkirchen
23175;Griesse;Jürgen;1966-09-02;Siegen
23176;Fliegauf;Lorenz;1954-08-04;Lauda / Main-Tauber-Kreis
23177;Munir Kmudir;Markus;1974-02-25;Bagdad
23178;Wiedemannott;Johann;1961-07-05;?
23179;Odorico;Paul Hermann Nahs;1947-05-20;Stuttgart
23180;Kalla;Raffaele;1977-05-16;Beuthen
23181;Weber;Erwin, Otto;1938-08-27;Windeberg
23182;Protz;Gerhard Johann;1957-08-20;Stuttgart
23183;Kühne;Keith Edmund;1958-01-26;Großrörsdorf
23184;Nuri;Thomas;1943-12-16;Kabul
23185;Liebich;Uwe Karl Heinz;1970-08-23;?
23186;Paul;Sven-Olaf;1970-07-29;?
23187;Kramer;Mathias;1970-03-21;?
23188;Köhler;Manfred;1950-01-09;Mährich Ostrau
23189;Parker;Robert;1931-08-20;Torquay
23190;Schulze;Hans-Jürgen;1959-01-08;Burgsdorf/Eisleben
23191;Alscher;Marco;1974-03-20;Berlin-Heiligensee
23192;Geßner;Horst;1955-01-23;Stuttgart
23193;Liebschner;Hans Peter;1948-11-14;?
23194;Eleftheriadis;Emroh-Mahmut;1979-09-06;
23195;Khiar;Peter;1957-09-13;Auch
23196;Stolle;Werner Kurt;1949-12-23;Marl
23197;Holzberg;Stefan;1965-01-22;Wilhelmshaven
23198;Bauder;Leonhard Alois;1942-08-19;Stuttgart
23199;Widmann;Albert;1969-10-28;Aldingen/Krs. Tuttlingen
23200;Lochschmied;Piotr;1968-01-20;Kirchheim Teck
23201;Jost;Eduard;1977-02-07;Gelsenkirchen
23202;Bensch;Wilhelm;1932-07-04;Zlotoryja
23203;Genenger;Mitko;1974-10-10;Geislingen
23204;Krüger - Costa;Kurt;1955-10-19;Ludwigsburg
23205;Kröckel;Heiko;1964-03-02;Nassau
23206;Gergely;Tilman;1981-10-21;Mures
23207;Bussiere;Christop;1980-08-06;Dijon Cote-D`or
23208;Talovic;Charles michael;1959-01-30;Janja
23209;Tittel;Gunter;1963-05-27;?
23210;Harn;Rocco Vincenzo;1952-09-27;?
23211;Ibsen;Aleksandr;1963-02-18;Berlin-Kreuzberg
23212;Trautner;Reinhard;1965-11-21;?
23213;Holzberg;Maik;1980-08-17;Wilhelmshaven
23214;Pinto;Dieter;1938-04-17;Vila Nova de Gaia
23215;Heeger;Ali Hulki;1970-08-05;Hannover
23216;Klosterkamp;Axel Michael;1971-02-02;Wuppertal
23217;Helali;Kurt Adolf;1961-06-04;Kairuan
23218;Abdulla Amin;Mathias;1979-07-31;Mosul / Irak
23219;Mirza;Horst;1957-05-17;Tirgu Mures
23220;König;Horst;1929-02-25;Freudeberg KRS Siegen
23221;Grunewald;Thomas;1968-09-28;Stuttgart
23222;Klahn;Detlef Wingolf;1952-10-24;Ravensburg
23223;Stensky;Giuseppe;1979-02-24;Berlin
23224;Friese;Cedric;1980-10-19;Leipzig
23225;Eisele;Sami;1973-11-01;Geislingen an der Steige
23226;Gomez;Werner;1939-12-13;Madrid
23227;Farinha;Rüdiger;1945-03-24;Angola
23228;Dräger;Thorsten;1959-04-15;Schuttern
23229;Jung;Daniel;1965-08-11;Völklingen
23230;Prete;Waldemar;1960-03-19;Guardia Sangramondi
23231;Bock;Brahima;1965-08-04;Rathenow
23232;Dittmeier;Norbert;1958-08-19;Stralsund
23233;John;Mike Alexander;1972-07-18;Wahlstedt
23234;Cvetanovic;Gabor;1965-12-08;Gorcinci / Babusnica
23235;Skillton;Athanasios;1957-01-29;Radlett
23236;Kreuz;Jürgen;1962-08-07;?
23237;Sattler;Werner;1929-02-15;München
23238;Özbay;Hans-Dieter;1958-04-05;Gross-Umstadt
23239;Schneider;Theodor;1950-02-13;?
23240;Dorner;Osman;1946-09-01;Urach
23241;Oesting;Josef Anton;1934-01-01;Oldenburg
23242;Harder;Manfred-Hans;1954-02-19;Podlesnoe
23243;Muslija;Paul-Jürgen;1961-03-30;Shtrupullure / Kosovo
23244;Liefke;Armin;1963-08-11;Neuheim
23245;Schätzle;Kamel;1966-09-04;Haldensleben
23246;Bieser;Michael Walter;1961-04-12;?
23247;Melzer;Klaus;1945-09-01;Weimar
23248;Belling;Manfred;1956-04-24;Hamburg
23249;Zeiziger;Michael Rudolf;1953-07-16;?
23250;Stuhlert;Vladimir;1958-02-22;Loebau Sevilla
23251;Schlecht;Giovanni;1976-10-07;Sindelfingen
23252;Eckert;Jürgen Werner;1970-01-25;Eppingen
23253;Ludwig;Ivan;1951-01-27;Peitz
23254;Eichel;Bülent;1976-11-24;?
23255;Hägele;Michael Rudolf;1972-12-15;Stuttgart
23256;Heinzel;Gerhard Johann;1957-08-20;Bad Waldsee KRS. Ravensburg
23257;Grohs;Egon;1960-02-13;?
23258;Schmedicke;Michael;1967-07-24;christianstadt
23259;Hopfmann;Klaus Dieter;1958-03-03;Schkenditz (bei Leipzig)
23260;Gehlker;Lars;1971-05-31;Hamburg
23261;Wazari-Zaheh;Manfred Markus;1960-12-04;Iran
23262;Kröcher;Sergej;1961-12-06;Rostock / Mecklenburg
23263;Schubert;Enzo Aaron;1979-11-15;Goldmoor
23264;Mouratidis;Thomas;1968-05-17;Stuttgart
23265;Mahr;Carsten;1966-06-29;Magstadt
23266;Eckernkamp;Georg;1967-08-24;Bielefeld
23267;Krenzel;Ingo;1959-03-27;Varel
23268;Eckart;Manfred Franz;1950-06-30;Stuttgart-Bad Cannstatt
23269;Welt;Erich;1944-04-18;Stuttgart
23270;Ullrich;Thorsten Andreas;1974-11-28;Freiburg
23271;Fröscher;Wilhelm;1948-02-16;Frankfurt / Oder
23272;Müller;Jörg Sieghfried;1965-03-13;Oldenburg
23273;Kraushaar;Fredy-Martin;1946-04-03;Temeschburg
23274;Reißinger;Tomas;1979-10-29;Gunzenhausen
23275;Dehner;Jürgen;1944-07-18;Grosselfingen
23276;Stepanek;Clint David;1960-03-12;Kleinmachnow
23277;Bader;Albrecht;1960-02-28;Würzburg
23278;Özvardarli;demetrius;1934-01-14;?
23279;Bölke;Eduard;1950-09-05;Wertheim am Main
23280;Von Schmude;Heiko;1965-07-16;Stuttgart
23281;Losse;Helmut;1942-10-16;Prenzlau
23282;Heumüller;Wolfgang;1960-06-07;Ludwigsburg
23283;Zautys;Michael;1948-02-17;Freudenstadt
23284;Notarianni;Kristian;1969-03-26;Winnenden
23285;Salhoff;Olaf;1969-05-05;Cottbus
23286;Acheampong;Walter;1941-10-04;Oyoko
23287;Hecht;Siegfried;1944-05-27;Reutlingen
23288;Marwinski;Teame;1971-05-15;Geldern
23289;Loch;Stefan Elenov;1968-11-06;?
23290;Kurz;Francisco;1965-03-25;Stuttgart
23291;Lukaszewicz;Mehmet Hanifi;1977-08-24;Zlotow
23292;Bauer;p;1900-01-01;Ludwigsburg
23293;John;Uwe;1956-10-28;Wahlstedt
23294;Kostyukovskiy;Werner;1949-09-04;St. Petersburg
23295;Negash;Martin KarlHeinz;1969-03-25;Asmara / Eritrea
23296;Cortez-Medina;Josef Friedrich;1935-03-30;?
23297;Werner;Georg;1995-03-16;?
23298;Hasenmaile;Alexander;1981-04-07;Ivenack
23299;Jahn;Jürgen;1965-01-21;Calw
23300;Strohhäcker;Mustafa;1986-10-18;Heilbronn
23301;Friedl;Wilfried;1950-10-13;Winnenden
23302;Bauder;Rumen Rashkov;1977-06-10;Stuttgart
23303;Lichter;Rüdiger Udo;1961-07-24;Trier
23304;Pongratz;Alexander;1970-09-09;Ludwigsburg
23305;Schlöcker;Karl-Heinz;1954-06-11;Bernburg
23306;Akarpinar;Joachim;1957-09-04;Adana
23307;Brochwitz;Berthold;1965-02-23;Alf
23308;Haier;Niklas;1979-08-20;Stuttgart-Bad Cannstatt
23309;Hechtel;Wolfgang;1972-07-08;?
23310;Wiese;Monier;1949-09-03;Strausberg
23311;Heumüller;Claus-Dieter;1954-03-19;Ludwigsburg
23312;Rizzo;Jörg Eberhard;1957-10-30;Pforzheim
23313;Montoneri;Robert;1959-05-20;Avola
23314;Schimming;Andreas;1965-04-29;?
23315;Tamim;Dimitrij;1968-01-16;Alfaou
23316;Hammer;Hans-Dieter;1949-05-26;Mainz
23317;Ilausky;Martin;1970-07-30;Ishewsk
23318;Ziat;Andrea;1965-11-29;Chichaoua
23319;Posowert;Yves;1975-08-13;Stuttgart
23320;Komischke;Frank;1968-10-14;Dresden
23321;Rajabo;Anastasios Joh;1978-05-02;Mosambik
23322;Radic;Dieter;1960-01-05;Rimavska Sobota
23323;Mader;Rolf Dieter;1940-03-28;Schillsdorf
23324;Sahin;Bernd;1965-11-30;Gelsenkirchen
23325;Pinckert;Barbaros;1974-07-17;Leibzig
23326;Kienle;Klaus Dieter;1959-01-27;Mosbach
23327;Fischer;Udo;1967-11-27;Furth im Wald
23328;Trägler;Roland;1943-01-15;Berlin
23329;Liebich;Helmut;1954-07-25;?
23330;Köhler;Daniel;1978-10-11;Ludwigsburg
23331;Koch;Peter;1937-10-14;Sruttgart
23332;Benner;Serhan;1974-12-02;Brandenburg
23333;Ruoff;Christian;1949-08-02;?
23334;Weishaupt;Walter;1948-07-07;München
23335;Roßbacher;Anton;1957-08-02;Weißwasser
23336;Borstler;Martin;1960-04-21;Düsseldorf
23337;Selle;Claus;1966-03-08;Böblingen
23338;Dinner;Wolfgang;1939-09-16;Stuttgart
23339;Mauch;Peter;1952-04-30;Stuttgart
23340;Klamt;Stefan;1956-10-03;Ostfildern
23341;Heinicke;Gerd;1960-12-06;Daubnitz (Krs. Meissen)
23342;Vlazny;Benjamin;1982-09-27;Ried/Innkreis
23343;Kramer;Lars;1973-10-18;Hagen
23344;Rebmann;Eduard;1977-11-21;Schönaich / Böblingen
23345;Erdlen;Aleksander;1972-02-29;Heidenheim
23346;Benz;Karl-Heinz;1946-02-27;Freiburg im Breisgau
23347;Heinicke;Holger Thilo;1962-06-13;Daubnitz (Krs. Meissen)
23348;Hasse;Dietmar;1963-02-28;?
23349;Klicek;Hans-Dieter Rudolf;1957-06-24;Zagreb
23350;Flohr;Christian-Peter;1980-09-01;Balingen
23351;Krakau;Marcello;1979-01-08;?
23352;Hardtke;Uwe;1967-06-09;Stuttgart
23353;Tesic;Andreas;1972-07-04;Kassel
23354;Böhm;Manfred;1958-02-19;?
23355;Wendt;Walter;1935-02-27;Borwa
23356;Liebig;Manfred;1977-10-06;Stuttgart
23357;Dräger;Franz Roland;1957-02-17;Woez
23358;Schaeling;Martin Johann;1977-08-24;Köln
23359;Dahner;Johann;1941-02-10;Ödenburg
23360;Tatar;Timo Stephan;1973-03-29;Elbistan
23361;Buck;Patric David;1984-12-31;?
23362;Hristov;Werner;1942-07-16;Skrat
23363;Selbuz;Rene;1970-08-18;Kigi
23364;Schmidt;Christos;1972-04-06;?
23365;Lerch;Hans Peter;1951-04-20;München
23366;Jasper;Jochen;1965-06-11;Salzgitter
23367;Hake;Heinz Joachim Günter;1960-06-03;Sulingen
23368;Nesbor;Günter;1955-06-07;Karl-Marx-Stadt
23369;Wetsphal;Bernd Otto;1954-05-23;Stralsund
23370;Heydrich;Armin;1963-08-15;Weimar
23371;Trummer;Redzo;1947-04-23;Linz
23372;Beyer;Dieter;1953-02-21;Bielefeld
23373;Papadopoulos;Hans Dieter;1942-08-08;Kasachstan
23374;Borgs;Roman Otto;1937-02-01;Merkstein
23375;Kraus;Diago;1981-09-21;?
23376;Kuchler;Sascha;1977-12-25;Kötzing/Cham
23377;Ermert;Haci;1967-09-29;Wiesbaden-Biebrich
23378;Busch;Udo;1960-04-26;Günzburg
23379;Winkler;Oliver;1967-03-27;Weinheim
23380;Reinke;John;1952-04-03;Demmin
23381;Kern;Jörg Eberhard;1957-10-30;Stuttgart
23382;Braun;Daniel;1982-02-27;Karlsruhe
23383;Weisgerber;Holger;1963-10-28;?
23384;Ziege;Walter;1932-05-01;?
23385;Jasper;Andreas;1968-11-11;Salzgitter
23386;Rashid Mohamad;Harald;1965-05-15;Kerkuk
23387;Heib;Christos;1971-01-28;Hermeskeil
23388;Schulte;Jürgen;1965-04-05;Stuttgart
23389;Moos;Vic;1975-04-26;?
23390;Müller;Klaus;1940-09-16;?
23391;Rodigast;Manfred;1962-10-12;Zeitz
23392;Bieser;Ulli Adolf;1944-04-27;?
23393;Raciti;Dieter;1939-03-03;Catania
23394;Gruber;Ronald;1961-09-27;Tübingen
23395;Piechocki;Walter;1941-10-04;München
23396;Hasenjäger geb. Groß;Karl;1949-11-03;Memmingen
23397;Kottlorz;Marcel;1976-03-13;Frankfurt      Oder
23398;Nikpreljevic;Michael Andreas;1957-09-24;Podgorica
23399;Özcelik;Bernd;1956-09-12;Türkei
23400;Bodesinsky;Eduard;1950-09-05;Lauf/Peg
23401;Bünger;Jose Aleixa;1963-05-14;Bremerhaven
23402;Butz;Bernd;1954-12-19;Walldorf
23403;Recic;Karl;1962-07-30;Vukovar
23404;Goldau;Gerhard-Julius;1940-11-09;Ludwigsburg
23405;Hildebrandt;Horst;1944-11-18;Berlin
23406;Schulz;Siegfried;1949-04-13;Sümmern jetzt Iserlohn
23407;Mauck;Serguei;1972-09-26;Bützow
23408;Krause;Jorge;1970-04-01;Rostock
23409;Blatt;Goran;1982-05-03;Wendel
23410;Osabu-Kle;t;1911-11-11;Ghana
23411;Genenger;Walter;1942-07-11;Geislingen
23412;Döll;Manfred;1951-07-08;?
23413;Gromm;Belchin Bilyanov;1977-03-25;Hagen
23414;Viggiano;Uwe  Rainer;1983-09-13;Potenza
23415;Zautys;Guido;1955-01-29;Freudenstadt
23416;Unruh;Jlias;1959-09-18;?
23417;Demircan;Orhan;1967-04-15;Kiziiliepe
23418;Krentz;Hans-Helmut;1952-11-11;Zgorzelec
23419;Müller;Yonas;1973-09-01;Itzehoe
23420;Buchmann;Paul;1945-01-01;Velpke
23421;Bonanno;Ralf;1975-05-25;Catania / Napoli
23422;Langer;Andre;1975-04-06;?
23423;Vycital;Markus;1974-02-25;Neuwied
23424;Djuren;Teodor Cristian;1980-07-31;?
23425;Kees;Uwe Karl Heinz;1970-08-23;Iserlohn
23426;Rehfeld;Christos;1939-06-10;Nürnberg
23427;Eren;Thomas;1963-11-08;Hamburg
23428;Nolte;Markus;1979-06-25;Heiligenstadt
23429;Sadikovic;Kurt Jürgen;1970-12-09;Brvine
23430;Lang;Manfred Eugen;1950-03-24;Dnennonetrousskij
23431;Aydogdu;Markus;1964-11-26;Feri
23432;Ridinger;Daniel;1978-10-11;Ura-Tjube
23433;Lenz;Stephan;1969-05-30;Heidelberg
23434;Müller;Sebastian;1980-07-30;?
23435;Pedolzky;Oleg;1963-01-05;Stuttgart
23436;Schmidt;Rolf Erwin;1937-04-30;Gelsenkirchen
23437;Hasse;Sascha;1978-06-23;?
23438;Mattern;Helmut;1954-12-03;Köthen / Sachsen-Anhalt
23439;Kühn;Florian Andreas;1968-08-23;Jena
23440;Neetzow;Manfred;1958-12-27;Stuttgart
23441;Kolenc;Marius;1961-02-13;Maribor / Hanu
23442;Schlag;Michael;1976-10-20;Windbergen
23443;Schneider;Hennri Yan;1958-05-23;?
23444;Assif;Alexander;1976-09-20;Tetouan
23445;Schoppet;Gerhard;1947-05-16;Mainz
23446;test100;Manfred;1941-05-07;dasf
23447;Kuhn;Waldemar;1978-12-03;Berlin
23448;Flad;Jerzy Jozef P.;1942-12-13;Willmandingen
23449;Ade;Viktor;1982-10-01;Ludwigsburg
23450;Neumaier;Steffen;1958-06-25;Stuttgart
23451;Von den Berg;Helmut Hugo;1943-06-07;Ravensburg
23452;Schmidt;Andreas;1964-07-18;Saarbrücken
23453;Gruia;Horst Johann;1957-08-31;Gottlob
23454;Nowacz;Cosimo;1971-05-02;Bochum
23455;Beßler;Stephan Wilfried;1967-11-23;Wippa
23456;Bauer;Branko;1955-01-04;Ludwigsburg
23457;Ueltzhoeffer;Harry Günther;1960-04-15;Biberach
23458;Schmöe;Ladislav;1974-05-13;Villingen
23459;Czypulowski;Jochen;1968-05-24;Schwenten/ Ostpreußen
23460;Koscierski;Axel Peter;1959-06-24;?
